SD_NM,SGG_NM,NO2__RR,NO2__RR_L,NO2__RR_U,NO2__ad,NO2__ad_L,NO2__ad_U,PM10__RR,PM10__RR_L,PM10__RR_U,PM10__ad,PM10__ad_L,PM10__ad_U,PM2_5__RR,PM2_5__RR_L,PM2_5__RR_U,PM2_5__ad,PM2_5__ad_L,PM2_5__ad_U,SGG_CD,SD_CD
전라남도,보성군,1.029,0.985,1.077,28,0,73,1.014,0.996,1.033,43,0,100,1.018,1.001,1.038,48,4,97,36360,36
전라남도,화순군,1.027,0.988,1.067,36,0,86,1.014,0.998,1.03,47,0,100,1.018,1.003,1.035,53,10,101,36370,36
전라남도,장흥군,1.037,0.993,1.089,27,0,61,1.015,0.997,1.035,40,0,89,1.019,1.002,1.04,42,5,86,36380,36
전라남도,강진군,1.038,0.989,1.094,26,0,61,1.015,0.995,1.036,41,0,98,1.019,1.001,1.042,44,1,93,36390,36
전라남도,해남군,1.042,0.99,1.101,57,0,131,1.015,0.994,1.037,73,0,178,1.02,1,1.043,73,0,156,36400,36
전라남도,영암군,1.032,0.989,1.078,32,0,76,1.014,0.997,1.033,47,0,103,1.019,1.002,1.039,50,7,98,36410,36
전라남도,무안군,1.039,0.994,1.09,52,0,115,1.015,0.997,1.035,68,0,151,1.02,1.002,1.041,67,8,135,36420,36
전라남도,함평군,1.031,0.989,1.077,30,0,71,1.014,0.997,1.032,44,0,97,1.018,1.002,1.037,47,6,94,36430,36
전라남도,영광군,1.025,0.979,1.075,20,0,56,1.012,0.994,1.031,43,0,109,1.016,0.999,1.036,48,0,103,36440,36
전라남도,장성군,1.028,0.99,1.07,31,0,73,1.013,0.997,1.029,47,0,104,1.017,1.002,1.034,55,8,105,36450,36
전라남도,완도군,1.042,0.985,1.11,20,0,50,1.015,0.992,1.04,45,0,115,1.02,0.998,1.046,40,0,90,36460,36
전라남도,진도군,1.039,0.972,1.117,11,0,31,1.013,0.986,1.041,22,0,69,1.018,0.993,1.048,22,0,55,36470,36
전라남도,신안군,1.035,0.981,1.097,17,0,44,1.014,0.992,1.038,36,0,93,1.019,0.998,1.044,31,0,70,36480,36
경상북도,포항시 남구,1.016,0.969,1.067,67,0,262,1.009,0.99,1.029,95,0,290,1.014,0.996,1.034,122,0,280,37011,37
경상북도,포항시 북구,1.014,0.973,1.056,29,0,117,1.009,0.993,1.025,81,0,225,1.014,0.999,1.03,110,0,233,37012,37
경상북도,경주시,1.01,0.971,1.049,56,0,271,1.008,0.993,1.024,128,0,353,1.014,0.999,1.03,178,0,370,37020,37
경상북도,김천시,1.021,0.986,1.06,54,0,145,1.009,0.996,1.024,81,0,200,1.014,1.001,1.029,108,8,211,37030,37
경상북도,안동시,1.017,0.98,1.057,50,0,163,1.008,0.993,1.024,79,0,221,1.013,0.999,1.028,112,0,234,37040,37
경상북도,구미시,1.016,0.979,1.054,45,0,152,1.008,0.994,1.023,77,0,209,1.013,0.999,1.028,106,0,219,37050,37
경상북도,영주시,1.012,0.974,1.053,27,0,112,1.007,0.992,1.023,53,0,169,1.012,0.997,1.027,82,0,179,37060,37
경상북도,영천시,1.01,0.974,1.048,22,0,97,1.008,0.994,1.023,60,0,162,1.013,1,1.028,86,0,174,37070,37
경상북도,상주시,1.015,0.981,1.051,33,0,108,1.008,0.995,1.022,65,0,169,1.013,1,1.026,91,2,180,37080,37
경상북도,문경시,1.011,0.975,1.05,16,0,68,1.007,0.993,1.022,38,0,112,1.012,0.998,1.027,55,0,117,37090,37
경상북도,경산시,1.014,0.979,1.051,72,0,242,1.009,0.994,1.025,95,0,248,1.014,1,1.03,127,0,259,37100,37
경상북도,군위군,1.011,0.973,1.049,8,0,35,1.007,0.993,1.022,20,0,58,1.013,0.998,1.027,30,0,63,37310,37
경상북도,의성군,1.014,0.977,1.052,20,0,75,1.008,0.993,1.023,48,0,134,1.013,0.999,1.028,69,0,143,37320,37
경상북도,청송군,1.01,0.972,1.049,4,0,19,1.007,0.993,1.023,14,0,42,1.013,0.998,1.027,21,0,44,37330,37
경상북도,영양군,1.011,0.971,1.054,4,0,16,1.007,0.991,1.024,9,0,29,1.013,0.997,1.029,14,0,30,37340,37
경상북도,영덕군,1.013,0.97,1.058,6,0,28,1.008,0.991,1.025,22,0,69,1.013,0.997,1.03,31,0,69,37350,37
경상북도,청도군,1.007,0.971,1.043,12,0,73,1.008,0.994,1.023,33,0,88,1.014,1,1.028,47,0,94,37360,37
경상북도,고령군,1.014,0.976,1.054,14,0,49,1.009,0.994,1.026,24,0,62,1.015,1,1.031,32,0,66,37370,37
경상북도,성주군,1.018,0.981,1.056,23,0,71,1.01,0.995,1.025,39,0,95,1.015,1.001,1.03,51,4,100,37380,37
경상북도,칠곡군,1.018,0.983,1.055,39,0,115,1.009,0.995,1.024,52,0,129,1.014,1.001,1.029,66,3,130,37390,37
경상북도,예천군,1.011,0.974,1.05,13,0,57,1.007,0.992,1.022,31,0,94,1.012,0.998,1.027,47,0,100,37400,37
경상북도,봉화군,1.012,0.974,1.052,8,0,34,1.007,0.992,1.023,17,0,54,1.012,0.998,1.027,26,0,57,37410,37
경상북도,울진군,1.015,0.973,1.061,10,0,41,1.009,0.992,1.027,25,0,73,1.013,0.997,1.031,32,0,73,37420,37
경상북도,울릉군,1.008,0.963,1.055,0,0,0,1.005,0.987,1.023,1,0,3,1.011,0.993,1.029,1,0,2,37430,37
경상남도,진주시,1.021,0.984,1.061,110,0,305,1.011,0.996,1.027,149,0,354,1.016,1.002,1.032,193,24,375,38030,38
경상남도,통영시,1.023,0.971,1.081,33,0,111,1.012,0.992,1.035,69,0,186,1.018,0.998,1.041,75,0,167,38050,38
경상남도,사천시,1.027,0.985,1.075,63,0,163,1.012,0.995,1.03,75,0,180,1.017,1.001,1.036,88,6,179,38060,38
경상남도,김해시,1.01,0.973,1.049,67,0,300,1.009,0.993,1.024,139,0,377,1.014,1,1.03,197,0,400,38070,38
경상남도,밀양시,1.01,0.973,1.049,26,0,121,1.008,0.993,1.024,63,0,175,1.014,0.999,1.029,93,0,190,38080,38
경상남도,거제시,1.02,0.969,1.076,37,0,138,1.012,0.991,1.034,75,0,207,1.017,0.998,1.041,83,0,187,38090,38
경상남도,양산시,0.999,0.959,1.037,0,0,134,1.006,0.99,1.022,53,0,184,1.012,0.996,1.028,91,0,201,38100,38
경상남도,창원시 의창구,1.017,0.979,1.057,49,0,160,1.01,0.995,1.026,81,0,202,1.015,1.001,1.032,106,6,211,38111,38
경상남도,창원시 성산구,1.019,0.979,1.062,32,0,103,1.011,0.995,1.028,51,0,128,1.016,1.001,1.034,66,3,133,38112,38
경상남도,창원시 마산합포구,1.02,0.98,1.063,66,0,199,1.011,0.994,1.028,93,0,233,1.016,1.001,1.034,117,6,237,38113,38
경상남도,창원시 마산회원구,1.017,0.976,1.062,49,0,168,1.01,0.993,1.028,78,0,202,1.016,1,1.034,98,0,204,38114,38
경상남도,창원시 진해구,1.006,0.963,1.051,19,0,140,1.008,0.99,1.027,58,0,177,1.014,0.997,1.033,80,0,177,38115,38
경상남도,의령군,1.023,0.984,1.066,23,0,64,1.011,0.996,1.028,36,0,85,1.016,1.002,1.033,46,5,90,38310,38
경상남도,함안군,1.019,0.981,1.06,28,0,86,1.011,0.995,1.027,48,0,116,1.016,1.001,1.033,62,6,122,38320,38
경상남도,창녕군,1.017,0.982,1.055,32,0,98,1.01,0.996,1.025,56,0,133,1.015,1.002,1.031,74,10,142,38330,38
경상남도,고성군,1.02,0.978,1.066,30,0,94,1.011,0.994,1.029,46,0,116,1.017,1,1.036,56,1,117,38340,38
경상남도,남해군,1.033,0.985,1.09,61,0,155,1.013,0.994,1.035,59,0,148,1.018,1,1.041,63,0,135,38350,38
경상남도,하동군,1.025,0.987,1.066,28,0,71,1.012,0.997,1.027,44,0,100,1.017,1.003,1.033,54,9,104,38360,38
경상남도,산청군,1.019,0.98,1.059,14,0,41,1.01,0.995,1.026,27,0,67,1.015,1.001,1.031,36,2,72,38370,38
경상남도,함양군,1.02,0.981,1.062,14,0,42,1.01,0.995,1.026,32,0,79,1.015,1.001,1.032,42,2,84,38380,38
경상남도,거창군,1.02,0.983,1.059,17,0,48,1.01,0.995,1.025,37,0,91,1.015,1.001,1.03,50,4,97,38390,38
경상남도,합천군,1.02,0.982,1.06,26,0,75,1.01,0.996,1.026,50,0,122,1.015,1.001,1.031,66,6,131,38400,38
제주특별자치도,제주시,1.015,0.972,1.062,22,0,91,1.008,0.991,1.025,53,0,169,1.013,0.997,1.03,64,0,148,39010,39
제주특별자치도,서귀포시,1.002,0.958,1.047,2,0,33,1.004,0.987,1.021,15,0,70,1.011,0.994,1.027,26,0,66,39020,39
